title,genres,platforms,playtime,rating,released,summary,tags
Half-Life 2,"Action, Shooter","PC, macOS, Xbox 360, Linux, Xbox, Android",7,89,2004-11-16,"half life 2. Genres: Action, Shooter. Available on: PC, macOS, Xbox 360, Linux, Xbox, Android. Released: 2004-11-16","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich"
Borderlands 2,"Action, Shooter, RPG","PlayStation 3, macOS, PC, Android, Linux, PS Vita, Xbox 360",11,80,2012-09-18,"borderlands 2. Genres: Action, Shooter, RPG. Available on: PlayStation 3, macOS, PC, Android, Linux, PS Vita, Xbox 360. Released: 2012-09-18","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, RPG"
Life is Strange,Adventure,"iOS, PC, Linux, PlayStation 3, macOS, Xbox 360, Android, PlayStation 4, Xbox One",6,82,2015-01-29,"life is strange episode 1 2. Genres: Adventure. Available on: iOS, PC, Linux, PlayStation 3, macOS, Xbox 360, Android, PlayStation 4, Xbox One. Released: 2015-01-29","Singleplayer, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Third Person, Female Protagonist"
BioShock,"Action, Shooter","PlayStation 3, macOS, PC, Xbox 360",3,87,2007-08-21,"bioshock. Genres: Action, Shooter. Available on: PlayStation 3, macOS, PC, Xbox 360. Released: 2007-08-21","Singleplayer, Atmospheric, Great Soundtrack, RPG, Story Rich, First-Person, Sci-fi, Partial Controller Support"
Destiny 2,"Action, Shooter","PlayStation 4, Xbox One, PC, Web, Xbox Series S/X, PlayStation 5",6,70,2017-09-06,"destiny 2. Genres: Action, Shooter. Available on: PlayStation 4, Xbox One, PC, Web, Xbox Series S/X, PlayStation 5. Released: 2017-09-06","Singleplayer, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, Co-op, Open World, cooperative"
God of War (2018),Action,"PC, PlayStation 4",15,91,2018-04-20,"god of war 2. Genres: Action. Available on: PC, PlayStation 4. Released: 2018-04-20","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, RPG, Story Rich, Third Person"
Fallout 4,"Action, RPG","PlayStation 4, PC, PlayStation 5, Xbox One",38,76,2015-11-09,"fallout 4. Genres: Action, RPG. Available on: PlayStation 4, PC, PlayStation 5, Xbox One. Released: 2015-11-09","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, RPG, Story Rich"
PAYDAY 2,"Action, Shooter","Linux, PC, Xbox One",9,70,2013-08-13,"payday 2. Genres: Action, Shooter. Available on: Linux, PC, Xbox One. Released: 2013-08-13","Singleplayer, Steam Achievements, Multiplayer, Full controller support, steam-trading-cards, Great Soundtrack, Co-op, cooperative"
Limbo,"Action, Adventure, Indie, Puzzle, Platformer","PC, Android, PS Vita, PlayStation 4, PlayStation 3, Xbox 360, Linux, macOS, iOS, Xbox One, Nintendo Switch",3,82,2010-07-21,"limbo. Genres: Action, Adventure, Indie, Puzzle, Platformer. Available on: PC, Android, PS Vita, PlayStation 4, PlayStation 3, Xbox 360, Linux, macOS, iOS, Xbox One, Nintendo Switch. Released: 2010-07-21","Singleplayer, Full controller support, Atmospheric, 2D, Horror, Difficult, Action-Adventure, Pixel Graphics"
Team Fortress 2,"Action, Shooter","Linux, macOS, PC",8,73,2007-10-10,"team fortress 2. Genres: Action, Shooter. Available on: Linux, macOS, PC. Released: 2007-10-10","Steam Achievements, Multiplayer, steam-trading-cards, Co-op, cooperative, First-Person, Partial Controller Support, FPS"
DOOM (2016),"Action, Shooter","PC, PlayStation 4, Nintendo Switch, Xbox One",10,87,2016-05-12,"doom. Genres: Action, Shooter. Available on: PC, PlayStation 4, Nintendo Switch, Xbox One. Released: 2016-05-12","Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, cooperative, First-Person, Sci-fi"
Cyberpunk 2077,"Action, Shooter, RPG","Nintendo Switch, PlayStation 4, PC, Xbox Series S/X, PlayStation 5, Xbox One",29,84,2020-12-10,"cyberpunk 2077. Genres: Action, Shooter, RPG. Available on: Nintendo Switch, PlayStation 4, PC, Xbox Series S/X, PlayStation 5, Xbox One. Released: 2020-12-10","Singleplayer, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, First-Person, Sci-fi"
Terraria,"Action, Indie, Platformer","Xbox 360, Wii U, Nintendo 3DS, Xbox One, PlayStation 4, iOS, PC, macOS, Linux, Nintendo Switch, PlayStation 3, PS Vita, Android",15,81,2011-05-16,"terraria. Genres: Action, Indie, Platformer. Available on: Xbox 360, Wii U, Nintendo 3DS, Xbox One, PlayStation 4, iOS, PC, macOS, Linux, Nintendo Switch, PlayStation 3, PS Vita, Android. Released: 2011-05-16","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, RPG"
Dota 2,"Action, Massively Multiplayer","Linux, macOS, PC",14,61,2013-07-09,"dota 2. Genres: Action, Massively Multiplayer. Available on: Linux, macOS, PC. Released: 2013-07-09","Multiplayer, steam-trading-cards, RPG, Co-op, cooperative, Online Co-Op, Fantasy, Difficult"
Warframe,"Action, Shooter, RPG, Massively Multiplayer","iOS, Xbox Series S/X, PlayStation 5, PlayStation 4, Xbox One, Nintendo Switch, PC",8,68,2013-03-25,"warframe. Genres: Action, Shooter, RPG, Massively Multiplayer. Available on: iOS, Xbox Series S/X, PlayStation 5, PlayStation 4, Xbox One, Nintendo Switch, PC. Released: 2013-03-25","Singleplayer, Multiplayer, steam-trading-cards, RPG, Co-op, cooperative, Third Person, Sci-fi"
Grand Theft Auto IV,Action,"Xbox 360, PC, PlayStation 3, Xbox One",10,85,2008-04-29,"grand theft auto iv. Genres: Action. Available on: Xbox 360, PC, PlayStation 3, Xbox One. Released: 2008-04-29","Singleplayer, Multiplayer, Atmospheric, Co-op, Open World, cooperative, Third Person, Partial Controller Support"
Rocket League,"Sports, Racing, Indie","Nintendo Switch, Linux, macOS, Xbox One, PC, PlayStation 4",21,78,2015-07-07,"rocket league. Genres: Sports, Racing, Indie. Available on: Nintendo Switch, Linux, macOS, Xbox One, PC, PlayStation 4. Released: 2015-07-07","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Co-op"
Horizon Zero Dawn,"Action, RPG","PC, PlayStation 4",11,85,2017-02-28,"horizon zero dawn. Genres: Action, RPG. Available on: PC, PlayStation 4. Released: 2017-02-28","Singleplayer, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Third Person, Sci-fi"
Metro 2033,"Action, Shooter","Xbox 360, PC",2,78,2010-03-16,"metro 2033. Genres: Action, Shooter. Available on: Xbox 360, PC. Released: 2010-03-16","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, First-Person"
Rise of the Tomb Raider,Action,"Xbox One, PC, macOS, PlayStation 4",14,80,2015-11-10,"rise of the tomb raider. Genres: Action. Available on: Xbox One, PC, macOS, PlayStation 4. Released: 2015-11-10","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG"
Batman: Arkham Knight,Action,"PC, Nintendo Switch, Xbox One, PlayStation 4",19,85,2015-06-23,"batman arkham knight. Genres: Action. Available on: PC, Nintendo Switch, Xbox One, PlayStation 4. Released: 2015-06-23","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, Open World"
Metal Gear Solid V: The Phantom Pain,"Action, Shooter","PlayStation 4, PC, Xbox One, PlayStation 3, Xbox 360",22,83,2015-09-01,"metal gear solid v the phantom pain. Genres: Action, Shooter. Available on: PlayStation 4, PC, Xbox One, PlayStation 3, Xbox 360. Released: 2015-09-01","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack"
The Witcher 2: Assassins of Kings Enhanced Edition,RPG,"macOS, PC, Xbox 360",7,83,2012-04-16,"the witcher 2 assassins of kings enhanced edition. Genres: RPG. Available on: macOS, PC, Xbox 360. Released: 2012-04-16","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, RPG, Story Rich, Open World"
Apex Legends,"Action, Shooter","PlayStation 4, Nintendo Switch, macOS, PC, Xbox One",5,72,2019-02-04,"apex legends. Genres: Action, Shooter. Available on: PlayStation 4, Nintendo Switch, macOS, PC, Xbox One. Released: 2019-02-04","Multiplayer, Full controller support, Atmospheric, Co-op, First-Person, Sci-fi, FPS, Online Co-Op"
Grand Theft Auto: San Andreas,Action,"macOS, PC, iOS, Xbox, Android, PlayStation 4, PlayStation 3, PlayStation 2, Xbox 360, Xbox One",2,90,2004-10-26,"grand theft auto san andreas. Genres: Action. Available on: macOS, PC, iOS, Xbox, Android, PlayStation 4, PlayStation 3, PlayStation 2, Xbox 360, Xbox One. Released: 2004-10-26","Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Story Rich, Open World, Third Person, Partial Controller Support"
The Witcher: Enhanced Edition Director's Cut,"Action, RPG","PC, macOS",5,81,2008-09-16,"the witcher enhanced edition directors cut. Genres: Action, RPG. Available on: PC, macOS. Released: 2008-09-16","Singleplayer, Steam Cloud, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Third Person"
Hollow Knight,"Action, Indie, Platformer","PlayStation 4, Linux, macOS, PC, Nintendo Switch, Xbox One",7,88,2017-02-23,"hollow knight. Genres: Action, Indie, Platformer. Available on: PlayStation 4, Linux, macOS, PC, Nintendo Switch, Xbox One. Released: 2017-02-23","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich"
Middle-earth: Shadow of Mordor,"Action, RPG","Linux, Xbox One, Xbox 360, PlayStation 3, PlayStation 4, macOS, PC",13,78,2014-09-30,"shadow of mordor. Genres: Action, RPG. Available on: Linux, Xbox One, Xbox 360, PlayStation 3, PlayStation 4, macOS, PC. Released: 2014-09-30","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, RPG, Story Rich"
Half-Life 2: Lost Coast,Action,"macOS, Linux, PC",1,69,2005-10-27,"half life 2 lost coast. Genres: Action. Available on: macOS, Linux, PC. Released: 2005-10-27","Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, First-Person, Sci-fi, FPS, Classic"
The Walking Dead: Season 1,"Action, Adventure","Android, PS Vita, macOS, PC, iOS, PlayStation 4, PlayStation 3, Xbox 360, Nintendo Switch, Xbox One",8,87,2012-04-23,"the walking dead. Genres: Action, Adventure. Available on: Android, PS Vita, macOS, PC, iOS, PlayStation 4, PlayStation 3, Xbox 360, Nintendo Switch, Xbox One. Released: 2012-04-23","Singleplayer, Full controller support, Atmospheric, Story Rich, Third Person, Horror, Gore, Survival"
Little Nightmares,"Action, Adventure, Platformer","iOS, PlayStation 4, PC, Xbox One, Nintendo Switch",3,80,2017-04-27,"little nightmares. Genres: Action, Adventure, Platformer. Available on: iOS, PlayStation 4, PC, Xbox One, Nintendo Switch. Released: 2017-04-27","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich"
BioShock 2,"Action, Shooter","PlayStation 4, Xbox One, Nintendo Switch, PC, macOS, Xbox 360, PlayStation 3",3,81,2010-02-09,"bioshock 2. Genres: Action, Shooter. Available on: PlayStation 4, Xbox One, Nintendo Switch, PC, macOS, Xbox 360, PlayStation 3. Released: 2010-02-09","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich"
Half-Life,"Action, Shooter","Linux, macOS, PC, Dreamcast, PlayStation 2",3,87,1998-11-19,"half life. Genres: Action, Shooter. Available on: Linux, macOS, PC, Dreamcast, PlayStation 2. Released: 1998-11-19","Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Story Rich, First-Person, Sci-fi, FPS"
Half-Life 2: Episode One,"Action, Shooter","Android, Linux, macOS, PC, Xbox 360",4,87,2006-06-01,"half life 2 episode one. Genres: Action, Shooter. Available on: Android, Linux, macOS, PC, Xbox 360. Released: 2006-06-01","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, First-Person, Sci-fi"
Half-Life 2: Episode Two,"Action, Shooter, Puzzle","Android, macOS, PC, Linux, Xbox 360",5,89,2007-10-10,"half life 2 episode two. Genres: Action, Shooter, Puzzle. Available on: Android, macOS, PC, Linux, Xbox 360. Released: 2007-10-10","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, First-Person"
Half-Life 2: Deathmatch,Action,"Linux, macOS, PC",1,65,2004-11-01,"half life 2 deathmatch. Genres: Action. Available on: Linux, macOS, PC. Released: 2004-11-01","Multiplayer, Atmospheric, Co-op, cooperative, First-Person, Sci-fi, FPS, Funny"
Dark Souls III,"Action, RPG","Xbox One, PlayStation 4, PC",29,88,2016-04-11,"dark souls iii. Genres: Action, RPG. Available on: Xbox One, PlayStation 4, PC. Released: 2016-04-11","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, RPG"
Stardew Valley,"RPG, Simulation, Indie","Nintendo Switch, Xbox One, PC, iOS, macOS, Linux, PlayStation 4, PS Vita, Android",13,88,2016-02-25,"stardew valley. Genres: RPG, Simulation, Indie. Available on: Nintendo Switch, Xbox One, PC, iOS, macOS, Linux, PlayStation 4, PS Vita, Android. Released: 2016-02-25","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG"
BioShock Remastered,Shooter,"PlayStation 4, Nintendo Switch, macOS, PC, Xbox One",4,84,2016-09-15,"bioshock remastered. Genres: Shooter. Available on: PlayStation 4, Nintendo Switch, macOS, PC, Xbox One. Released: 2016-09-15","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, RPG, Story Rich"
Mirror's Edge,Action,"Xbox 360, PlayStation 3, PC",3,81,2008-11-11,"mirrors edge. Genres: Action. Available on: Xbox 360, PlayStation 3, PC. Released: 2008-11-11","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, First-Person, Sci-fi, Partial Controller Support, Classic"
Hotline Miami,"Action, Shooter, Arcade, Indie","Linux, Nintendo Switch, Xbox One, PlayStation 4, PS Vita, PC",5,87,2012-10-22,"hotline miami. Genres: Action, Shooter, Arcade, Indie. Available on: Linux, Nintendo Switch, Xbox One, PlayStation 4, PS Vita, PC. Released: 2012-10-22","Singleplayer, Steam Achievements, Atmospheric, steam-trading-cards, Great Soundtrack, 2D, Partial Controller Support, Gore"
Hitman,"Action, Shooter, Simulation","PlayStation 4, Linux, macOS, PC, Xbox One",7,78,2016-03-11,"hitman. Genres: Action, Shooter, Simulation. Available on: PlayStation 4, Linux, macOS, PC, Xbox One. Released: 2016-03-11","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, Story Rich, Open World, Third Person, Sandbox"
Outlast,"Action, Indie","Linux, macOS, Nintendo Switch, PC, Xbox One, PlayStation 4",3,75,2013-09-03,"outlast. Genres: Action, Indie. Available on: Linux, macOS, Nintendo Switch, PC, Xbox One, PlayStation 4. Released: 2013-09-03","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, First-Person, Sci-fi"
Deus Ex: Mankind Divided,"Action, RPG","Linux, PC, Xbox One, macOS, PlayStation 4",7,79,2016-08-22,"deus ex mankind divided. Genres: Action, RPG. Available on: Linux, PC, Xbox One, macOS, PlayStation 4. Released: 2016-08-22","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, First-Person"
Far Cry 3,"Action, Shooter","Xbox One, Xbox 360, PlayStation 3, PC, PlayStation 4",16,85,2012-11-28,"far cry 3. Genres: Action, Shooter. Available on: Xbox One, Xbox 360, PlayStation 3, PC, PlayStation 4. Released: 2012-11-28","Singleplayer, Multiplayer, Atmospheric, RPG, Co-op, Story Rich, Open World, cooperative"
PlayerUnknown’s Battlegrounds,"Action, Shooter, Massively Multiplayer","PC, Xbox One, PlayStation 4",29,65,2017-12-20,"playerunknowns battlegrounds. Genres: Action, Shooter, Massively Multiplayer. Available on: PC, Xbox One, PlayStation 4. Released: 2017-12-20","Multiplayer, Co-op, Open World, cooperative, First-Person, FPS, Online Co-Op, Survival"
Path of Exile,"Action, RPG, Massively Multiplayer, Indie","Xbox One, PlayStation 4, PC",6,73,2013-10-23,"path of exile. Genres: Action, RPG, Massively Multiplayer, Indie. Available on: Xbox One, PlayStation 4, PC. Released: 2013-10-23","Singleplayer, Steam Achievements, Multiplayer, steam-trading-cards, RPG, Co-op, cooperative, Online Co-Op"
Alan Wake,"Action, Shooter, Adventure","Xbox 360, Xbox One, PC",5,82,2010-05-14,"alan wake. Genres: Action, Shooter, Adventure. Available on: Xbox 360, Xbox One, PC. Released: 2010-05-14","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich"
Garry's Mod,"Action, Adventure, Simulation, Casual, Indie","Linux, macOS, PC",14,76,2004-12-24,"garrys mod. Genres: Action, Adventure, Simulation, Casual, Indie. Available on: Linux, macOS, PC. Released: 2004-12-24","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, steam-trading-cards, Co-op, First-Person, FPS"
Amnesia: The Dark Descent,"Action, Adventure, Indie","Linux, macOS, PC",2,73,2010-09-08,"amnesia the dark descent. Genres: Action, Adventure, Indie. Available on: Linux, macOS, PC. Released: 2010-09-08","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, Story Rich, First-Person, Horror, Exploration"
Wolfenstein: The New Order,"Action, Shooter","Xbox One, PC, Xbox 360, PlayStation 3, PlayStation 4",12,83,2014-05-19,"wolfenstein the new order. Genres: Action, Shooter. Available on: Xbox One, PC, Xbox 360, PlayStation 3, PlayStation 4. Released: 2014-05-19","Singleplayer, Steam Achievements, Multiplayer, Atmospheric, Great Soundtrack, Story Rich, First-Person, Sci-fi"
Marvel's Spider-Man,Action,"PlayStation 4, PC, PlayStation 5",6,89,2018-09-07,"marvels spider man. Genres: Action. Available on: PlayStation 4, PC, PlayStation 5. Released: 2018-09-07","Singleplayer, Atmospheric, Open World, Exploration, Action-Adventure, exclusive, Cinematic, Beat 'em up"
Half-Life Deathmatch: Source,Action,"macOS, Linux, PC",1,64,2006-05-01,"half life deathmatch source. Genres: Action. Available on: macOS, Linux, PC. Released: 2006-05-01","Multiplayer, First-Person, Sci-fi, Horror, FPS, Classic, Valve Anti-Cheat enabled"
Spec Ops: The Line,"Action, Shooter","Xbox 360, PlayStation 3, Xbox One, PC",5,82,2012-06-26,"spec ops the line. Genres: Action, Shooter. Available on: Xbox 360, PlayStation 3, Xbox One, PC. Released: 2012-06-26","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Co-op"
Detroit: Become Human,"Action, Adventure","PC, PlayStation 4",10,86,2018-05-25,"detroit become human. Genres: Action, Adventure. Available on: PC, PlayStation 4. Released: 2018-05-25","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, Third Person"
Saints Row: The Third,"Action, Adventure","Linux, PC, Xbox One, Xbox 360, PlayStation 3",14,79,2011-11-15,"saints row the third. Genres: Action, Adventure. Available on: Linux, PC, Xbox One, Xbox 360, PlayStation 3. Released: 2011-11-15","Singleplayer, Multiplayer, Great Soundtrack, RPG, Co-op, Open World, cooperative, Third Person"
Prey,"Action, Shooter, RPG","Xbox One, PC, PlayStation 4",10,85,2017-05-05,"prey. Genres: Action, Shooter, RPG. Available on: Xbox One, PC, PlayStation 4. Released: 2017-05-05","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG"
Fallout: New Vegas,"Action, Shooter, RPG","Xbox 360, PC, Xbox One, PlayStation 4, PlayStation 3",12,88,2010-10-19,"fallout new vegas. Genres: Action, Shooter, RPG. Available on: Xbox 360, PC, Xbox One, PlayStation 4, PlayStation 3. Released: 2010-10-19","Singleplayer, Steam Achievements, Atmospheric, RPG, Story Rich, Open World, First-Person, Third Person"
Borderlands,"Action, Shooter, RPG","PC, Xbox 360, PlayStation 3",10,76,2009-10-20,"borderlands. Genres: Action, Shooter, RPG. Available on: PC, Xbox 360, PlayStation 3. Released: 2009-10-20","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, RPG, Co-op, Open World, cooperative"
The Elder Scrolls V: Skyrim Special Edition,"Action, RPG","PlayStation 4, PC, Xbox One",9,89,2016-10-27,"the elder scrolls v skyrim special edition. Genres: Action, RPG. Available on: PlayStation 4, PC, Xbox One. Released: 2016-10-27","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World"
Dishonored 2,"Action, RPG","Xbox One, PC, PlayStation 4",12,85,2016-11-10,"dishonored 2. Genres: Action, RPG. Available on: Xbox One, PC, PlayStation 4. Released: 2016-11-10","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich"
Don't Starve Together,"Action, Simulation, Indie","Linux, Xbox One, PlayStation 4, macOS, PC",7,75,2016-04-21,"dont starve together. Genres: Action, Simulation, Indie. Available on: Linux, Xbox One, PlayStation 4, macOS, PC. Released: 2016-04-21","Singleplayer, Multiplayer, Full controller support, Atmospheric, steam-trading-cards, Co-op, Open World, cooperative"
Dishonored,"Action, Adventure, RPG","PlayStation 4, PlayStation 3, Xbox 360, PC, Xbox One",9,87,2012-09-25,"dishonored. Genres: Action, Adventure, RPG. Available on: PlayStation 4, PlayStation 3, Xbox 360, PC, Xbox One. Released: 2012-09-25","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, RPG, Story Rich, Open World"
Company of Heroes 2,Strategy,"Linux, macOS, PC",4,62,2013-06-25,"company of heroes 2. Genres: Strategy. Available on: Linux, macOS, PC. Released: 2013-06-25","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Co-op"
Hellblade: Senua's Sacrifice,"Action, Adventure, Indie","Xbox One, Nintendo Switch, PlayStation 4, PC",6,84,2017-08-07,"hellblade senuas sacrifice. Genres: Action, Adventure, Indie. Available on: Xbox One, Nintendo Switch, PlayStation 4, PC. Released: 2017-08-07","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, Third Person"
Injustice: Gods Among Us Ultimate Edition,"Action, Arcade, Fighting","PlayStation 4, PS Vita, PC, Xbox 360, PlayStation 3",5,70,2013-11-12,"injustice gods among us ultimate edition. Genres: Action, Arcade, Fighting. Available on: PlayStation 4, PS Vita, PC, Xbox 360, PlayStation 3. Released: 2013-11-12","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack"
Grand Theft Auto: Vice City,Action,"Android, macOS, PC, iOS, PlayStation 4, PS Vita, PlayStation 2, Xbox",2,88,2002-10-27,"grand theft auto vice city. Genres: Action. Available on: Android, macOS, PC, iOS, PlayStation 4, PS Vita, PlayStation 2, Xbox. Released: 2002-10-27","Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Open World, Third Person, Partial Controller Support, Funny"
Sid Meier's Civilization V,Strategy,"PC, macOS, Linux",27,85,2010-09-21,"civilization v. Genres: Strategy. Available on: PC, macOS, Linux. Released: 2010-09-21","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, steam-trading-cards, Great Soundtrack, Co-op, cooperative"
